Title,Mileage,Model,Color,BodyType,EngineCapacity,FuelType,Transmission,RegisteredIn,Assembly,Price,Location,LastUpdated,ReferenceNo
Toyota Yaris Sedan ATIV MT 1.3 2025,30 km,2025,White,Sedan,1300 cc,Petrol,Manual,Un-Registered,Local,PKR 51 lacs,Lahore Punjab,"Jun 30, 2025",10262585
Honda Civic 1.5 VTEC Turbo Oriel 2020,"72,000 km",2020,Crystal Black Pearl,Sedan,1500 cc,Petrol,Automatic,Islamabad,Local,PKR 65.75 lacs,"Shadman, Lahore Punjab","Jun 30, 2025",10138164
BMW 5 Series 520d 2012,"136,862 km",2012,White,Sedan,2000 cc,Diesel,Automatic,Islamabad,Local,PKR 1.2 crore,"I- 9, Islamabad Islamabad","Jun 30, 2025",9887693
Audi A6 1.8 TFSI Business Class Edition 2015,"90,768 km",2015,Black,Sedan,1800 cc,Petrol,Automatic,Islamabad,Imported,PKR 1.07 crore,"Defence Phase-2, Islamabad Islamabad","Jun 30, 2025",10262536
Toyota Corolla GLi 1.3 VVTi Special Edition 2019,"90,000 km",2019,Super White,Sedan,1300 cc,Petrol,Manual,Punjab,Local,PKR 42.5 lacs,"Satiana Road, Faisalabad Punjab","Jun 30, 2025",10257615
Honda Civic Oriel 1.8 i-VTEC CVT 2019,"72,000 km",2019,Burgundy,Sedan,1800 cc,Petrol,Automatic,Islamabad,Local,PKR 54.5 lacs,"GT Road, Hassan abdal Punjab","Jun 30, 2025",10207602
Suzuki Alto VXR 2022,"37,071 km",2022,Solid White,Hatchback,660 cc,Petrol,Manual,Sindh,Local,PKR 24.6 lacs,"Federal B. Area, Karachi Sindh","Jun 30, 2025",10155119
Suzuki Swift DLX 1.3 2017,"183,907 km",2017,Graphite Grey,Hatchback,1300 cc,Petrol,Manual,Lahore,Local,PKR 23 lacs,"Askari-X, Lahore Punjab","Jun 30, 2025",10226858
Chery Tiggo 4 Pro DEX Plus 1.5T 2023,"58,500 km",2023,Quartz Black,Crossover,1498 cc,Petrol,Automatic,Un-Registered,Local,PKR 58 lacs,"Bahria Town, Lahore Punjab","Jun 30, 2025",10113532
Hyundai Elantra GLS 2024,"48,000 km",2024,White,Sedan,2000 cc,Petrol,Automatic,Islamabad,Local,PKR 68.5 lacs,"Defence Phase-I, Rawalpindi Punjab","Jun 30, 2025",10219890
Honda Civic Oriel 1.8 i-VTEC CVT 2021,"81,000 km",2021,Crystal Black,Sedan,1800 cc,Petrol,Automatic,Punjab,Local,PKR 63.9 lacs,Lahore Punjab,"Jun 30, 2025",10227184
Nissan Dayz X 2022,"28,000 km",2022,White,Hatchback,660 cc,Petrol,Automatic,Un-Registered,Imported,PKR 36.9 lacs,Lahore Punjab,"Jun 30, 2025",10262551
Toyota Vitz F 1.0 1999,"180,000 km",1999,Red,Hatchback,1000 cc,Petrol,Manual,Sindh,Imported,PKR 14.5 lacs,"Gulistan-e-Sajjad, Hyderabad Sindh","Jun 30, 2025",10157586
Honda Civic EXi Prosmatec 2005,"157,000 km",2005,Grenada Black Pearl,Sedan,1500 cc,Petrol,Automatic,Punjab,Local,PKR 16 lacs,"Dhandharan Chak 66 JB, Faisalabad Punjab","Jun 30, 2025",10262588
Suzuki Liana RXi 2007,"194,000 km",2007,Graphite Grey,Sedan,1300 cc,Petrol,Manual,Karachi,Local,PKR 12.4 lacs,"F-10, Islamabad Islamabad","Jun 30, 2025",10262587
Suzuki Swift DLX 1.3 2015,"156,000 km",2015,Grey,Hatchback,1300 cc,Petrol,Manual,Islamabad,Local,PKR 22.8 lacs,"G-10, Islamabad Islamabad","Jun 30, 2025",10262586
Toyota Vitz F 1.0 2005,"162,000 km",2005,Silver,Hatchback,1000 cc,Petrol,Automatic,Lahore,Imported,PKR 18.85 lacs,"Model Town, Lahore Punjab","Jun 30, 2025",10262581
Suzuki Wagon R 2017,1 km,2017,Black,N/A,660 cc,Hybrid,Automatic,Rawalpindi,Imported,PKR 26.5 lacs,"Al Noor Garden, Faisalabad Punjab","Jun 30, 2025",10262578
Toyota Corolla Axio Hybrid 1.5 2017,"85,000 km",2017,Silver Metallic,Sedan,1500 cc,Hybrid,Automatic,Lahore,Imported,PKR 51.95 lacs,"Gulberg, Islamabad Islamabad","Jun 30, 2025",10262327
Toyota Corona 1982,"100,000 km",1982,Black,N/A,1500 cc,Diesel,Manual,Islamabad,Imported,PKR 6.8 lacs,"Range Road, Rawalpindi Punjab","Jun 30, 2025",10262577
Toyota Corolla XLi VVTi 2016,"108,000 km",2016,White,Sedan,1300 cc,Petrol,Manual,Lahore,Local,PKR 37 lacs,"Bhimber Road, Gujrat Punjab","Jun 30, 2025",10262081
